,Poet,birthday
1618,Kenneth%20Rexroth,/poets/kenneth-rexroth
1619,James%20Laughlin,/poets/james-laughlin
1620,Richard%20Blanco,/poets/richard-blanco
1621,Arden%20Levine,/poets/arden-levine
1622,James%20Shirley,/poets/james-shirley
1623,Peter%20Dale%20Scott,/poets/peter-dale-scott
1624,Michael%20Ryan,/poets/michael-ryan
1625,Jennifer%20Militello,/poets/jennifer-militello
1626,Allen%20Tate,/poets/allen-tate
1627,Claudine%20Toutoungi,/poets/claudine-toutoungi
1628,Jeffrey%20Jullich,/poets/geoffrey-jullich
1629,Jeramy%20Dodds,/poets/jeramy-dodd
1630,Dunya%20Mikhail,/poets/dunya-mikhail
1631,Eduardo%20C.%20Corral,/poets/eduardo-c-corral
1632,Laurie%20Ann%20Guerrero,/poets/laurie-ann-guerrero
1633,Robert%20King,/poets/robert-king
1634,Michael%20Gessner,/poets/michael-gessner
1635,Charles%20Olson,/poets/charles-olson
1636,Biddy%20Jenkinson,/poets/biddy-jenkinson
1637,Erika%20L.%20Sánchez,/poets/erika-l-sanchez
1638,Jos%20Charles,/poets/jos-charles
1639,Jules%20Supervielle,/poets/jules-supervielle
1640,Erika%20Meitner,/poets/erika-meitner
1641,Thomas%20P.%20Lynch,/poets/thomas-p-lynch
1642,Carol%20Light,/poets/carol-light
1643,Karla%20Huston,/poets/karla-huston
1644,Martha%20Zweig,/poets/martha-zweig
1645,Peter%20Oresick,/poets/peter-oresick
1646,Michael%20Lauchlan,/poets/michael-lauchlan
1647,Kazim%20Ali,/poets/kazim-ali
1648,Edward%20Hirsch,/poets/edward-hirsch
1649,Quincy%20Troupe,/poets/quincy-troupe
1650,Robert%20Winner,/poets/robert-winner
1651,Tess%20Gallagher,/poets/tess-gallagher
1652,Fred%20D'Aguiar,/poets/fred-daguiar
1653,Albert%20Wendt,/poets/albert-wendt
1654,Tao%20Lin,/poets/tao-lin
1655,Lyn%20Lifshin,/poets/lyn-lifshin
1656,Robert%20Bringhurst,/poets/robert-bringhurst
1657,Roy%20Fisher,/poets/roy-fisher
1658,Moniza%20Alvi,/poets/moniza-alvi
1659,Gwen%20Nell%20Westerman,/poets/gwen-nell-westerman
1660,Sandra%20M.%20Gilbert,/poets/sandra-m-gilbert
1661,Liz%20Waldner,/poets/liz-waldner
1662,Kenyatta%20Rogers,/poets/kenyatta-rogers
1663,Derek%20Mahon,/poets/derek-mahon
1664,Michael%20Robbins,/poets/michael-robbins
1665,Jessie%20Puru,/poets/jessie-puru
1666,Stephanie%20Burt,/poets/stephanie-burt
1667,Dante%20Alighieri,/poets/dante-alighieri
1668,Molly%20McQuade,/poets/molly-mcquade
1669,Robert%20Fitzgerald,/poets/robert-fitzgerald
1670,Christopher%20Todd%20Matthews,/poets/christopher-todd-matthews
1671,Arthur%20Symons,/poets/arthur-symons
1672,Jalal%20al-Din%20Rumi,/poets/jalal-al-din-rumi
1673,Matt%20Mason,/poets/matt-mason
1674,Chitra%20Banerjee%20Divakaruni,/poets/chitra-banerjee-divakaruni
1675,David%20Black,/poets/david-black
1676,Elisabeth%20Eybers,/poets/elisabeth-eybers
1677,Michael%20Dickman,/poets/michael-dickman
1678,Annie%20Finch,/poets/annie-finch
1679,Frank%20Asch,/poets/frank-asch
1680,Nancy%20Bo%20Flood,/poets/nancy-bo-flood
1681,Jennifer%20Jean,/poets/jennifer-jean
1682,George%20Starbuck,/poets/george-starbuck
1683,Anne%20Marie%20Macari,/poets/anne-marie-macari
1684,J.%20P.%20White,/poets/j-p-white
